Tenure_Months,Monthly_Charges,Contract_Type,Internet_Service,Tech_Support,Payment_Method,Support_Calls,Churn
72.0,35.27,Month-to-Month,DSL,No,Electronic Check,1,No
4.0,46.8,Month-to-Month,Fiber Optic,No,Bank Transfer,1,Yes
19.0,91.62,One Year,No,Yes,Electronic Check,1,No
2.0,66.04,Month-to-Month,Fiber Optic,No,Mailed Check,0,Yes
9.0,15.0,Month-to-Month,No,No,Electronic Check,2,Yes
18.0,117.41,Month-to-Month,Fiber Optic,Yes,Mailed Check,2,Yes
70.0,49.1,Month-to-Month,DSL,No,Bank Transfer,2,Yes
12.0,52.92,Month-to-Month,DSL,Yes,Electronic Check,2,Yes
2.0,72.67,Month-to-Month,Fiber Optic,No,Credit Card,2,Yes
12.0,83.75,One Year,Fiber Optic,No,Electronic Check,1,Yes
4.0,123.83,One Year,Fiber Optic,No,Electronic Check,1,Yes
6.0,15.2,Month-to-Month,Fiber Optic,No,Bank Transfer,2,Yes
23.0,89.78,One Year,Fiber Optic,Yes,Credit Card,0,No
2.0,87.29,Month-to-Month,DSL,No,Credit Card,1,Yes
15.0,60.89,Two Year,No,Yes,Credit Card,1,No
23.0,88.62,Month-to-Month,Fiber Optic,No,Electronic Check,1,Yes
13.0,93.03,One Year,Fiber Optic,Yes,Credit Card,2,Yes
0.0,23.54,One Year,Fiber Optic,No,Credit Card,3,Yes
72.0,117.49,Month-to-Month,Fiber Optic,Yes,Electronic Check,3,Yes
11.0,18.24,Two Year,DSL,Yes,Bank Transfer,0,No
36.0,30.94,Month-to-Month,Fiber Optic,Yes,Bank Transfer,1,Yes
9.0,57.15,One Year,DSL,No,Mailed Check,3,Yes
15.0,122.75,Month-to-Month,Fiber Optic,Yes,Credit Card,1,Yes
12.0,55.75,Month-to-Month,DSL,Yes,Electronic Check,0,No
10.0,64.04,One Year,DSL,Yes,Bank Transfer,2,Yes
1.0,107.96,Month-to-Month,DSL,Yes,Electronic Check,0,Yes
11.0,55.99,Month-to-Month,Fiber Optic,Yes,Mailed Check,0,Yes
53.0,29.65,Month-to-Month,No,No,Credit Card,2,No
28.0,52.48,One Year,DSL,Yes,Electronic Check,1,No
4.0,106.12,Month-to-Month,Fiber Optic,No,Mailed Check,0,Yes
21.0,67.13,Month-to-Month,DSL,Yes,Credit Card,0,Yes
53.0,122.92,One Year,Fiber Optic,No,Credit Card,2,No
29.0,87.14,Month-to-Month,DSL,No,Bank Transfer,0,Yes
4.0,45.66,Month-to-Month,DSL,Yes,Electronic Check,2,Yes
49.0,66.53,Month-to-Month,DSL,Yes,Mailed Check,1,No
9.0,39.4,Month-to-Month,No,Yes,Credit Card,0,Yes
15.0,44.95,Month-to-Month,Fiber Optic,Yes,Credit Card,4,Yes
18.0,150.0,Two Year,DSL,No,Electronic Check,1,Yes
46.0,95.56,Month-to-Month,DSL,No,Bank Transfer,0,Yes
64.0,90.83,Month-to-Month,DSL,No,Electronic Check,2,Yes
64.0,46.3,Month-to-Month,DSL,Yes,Electronic Check,2,No
0.0,112.09,Month-to-Month,Fiber Optic,Yes,Mailed Check,2,Yes
61.0,97.98,One Year,Fiber Optic,Yes,Electronic Check,1,Yes
1.0,121.45,Month-to-Month,Fiber Optic,No,Electronic Check,2,Yes
7.0,119.99,Month-to-Month,DSL,No,Bank Transfer,0,Yes
17.0,20.63,Month-to-Month,Fiber Optic,Yes,Mailed Check,1,Yes
16.0,31.7,Two Year,DSL,No,Credit Card,1,Yes
22.0,34.89,Month-to-Month,DSL,Yes,Bank Transfer,2,Yes
16.0,36.68,Month-to-Month,Fiber Optic,No,Bank Transfer,2,Yes
65.0,74.7,One Year,DSL,Yes,Electronic Check,0,No
7.0,48.0,Month-to-Month,Fiber Optic,No,Electronic Check,0,Yes
8.0,127.18,One Year,No,Yes,Bank Transfer,0,No
61.0,122.14,One Year,DSL,No,Electronic Check,2,Yes
2.0,64.81,Month-to-Month,No,Yes,Credit Card,1,Yes
23.0,123.66,Month-to-Month,DSL,Yes,Mailed Check,1,Yes
27.0,109.64,Two Year,DSL,Yes,Electronic Check,4,Yes
17.0,51.48,One Year,Fiber Optic,No,Bank Transfer,3,Yes
28.0,15.0,Two Year,Fiber Optic,No,Credit Card,0,No
5.0,58.46,Month-to-Month,DSL,Yes,Electronic Check,5,Yes
46.0,45.66,Month-to-Month,Fiber Optic,No,Electronic Check,4,Yes
4.0,71.2,Two Year,No,No,Credit Card,0,Yes
12.0,67.68,Month-to-Month,DSL,Yes,Electronic Check,1,Yes
2.0,66.89,Two Year,No,Yes,Electronic Check,2,No
19.0,80.71,Month-to-Month,Fiber Optic,No,Electronic Check,2,Yes
27.0,28.62,Two Year,No,No,Mailed Check,0,No
68.0,77.34,Month-to-Month,DSL,Yes,Bank Transfer,2,Yes
32.0,51.81,Month-to-Month,Fiber Optic,Yes,Mailed Check,4,No
19.0,71.0,Two Year,DSL,Yes,Credit Card,1,No
65.0,93.72,Month-to-Month,No,No,Credit Card,1,No
16.0,28.27,Month-to-Month,Fiber Optic,Yes,Credit Card,1,Yes
20.0,56.56,Month-to-Month,Fiber Optic,No,Mailed Check,2,Yes
22.0,61.44,One Year,DSL,Yes,Electronic Check,3,No
13.0,49.57,Two Year,No,Yes,Credit Card,1,No
44.0,91.99,Month-to-Month,Fiber Optic,Yes,Electronic Check,1,Yes
5.0,43.39,Month-to-Month,Fiber Optic,No,Credit Card,1,Yes
19.0,48.34,Month-to-Month,Fiber Optic,Yes,Electronic Check,1,Yes
31.0,43.7,One Year,No,No,Credit Card,3,No
56.0,97.76,Month-to-Month,DSL,Yes,Credit Card,1,Yes
52.0,50.23,Month-to-Month,DSL,No,Mailed Check,2,Yes
17.0,78.8,Month-to-Month,No,Yes,Electronic Check,0,No
25.0,124.27,One Year,Fiber Optic,No,Electronic Check,2,Yes
12.0,62.76,Two Year,DSL,No,Mailed Check,2,No
15.0,98.36,Month-to-Month,DSL,Yes,Electronic Check,0,Yes
57.0,115.14,Month-to-Month,No,Yes,Bank Transfer,1,Yes
64.0,95.82,One Year,DSL,No,Mailed Check,1,No
54.0,64.5,One Year,Fiber Optic,Yes,Electronic Check,0,No
4.0,84.26,Month-to-Month,No,No,Mailed Check,0,Yes
46.0,26.38,Month-to-Month,DSL,Yes,Mailed Check,2,No
71.0,41.6,Month-to-Month,No,No,Electronic Check,0,No
11.0,46.86,One Year,Fiber Optic,No,Bank Transfer,0,Yes
18.0,132.22,One Year,Fiber Optic,Yes,Credit Card,2,No
36.0,40.62,Month-to-Month,Fiber Optic,No,Electronic Check,1,Yes
20.0,40.18,Month-to-Month,Fiber Optic,No,Electronic Check,2,Yes
72.0,33.68,Month-to-Month,DSL,Yes,Credit Card,1,No
15.0,81.79,Two Year,DSL,Yes,Electronic Check,2,No
30.0,69.28,Month-to-Month,No,No,Electronic Check,5,Yes
38.0,97.6,Two Year,DSL,Yes,Bank Transfer,3,No
16.0,85.14,One Year,No,No,Electronic Check,2,Yes
47.0,23.59,Month-to-Month,DSL,No,Electronic Check,2,No
19.0,40.78,Month-to-Month,Fiber Optic,Yes,Credit Card,1,Yes
13.0,105.96,Two Year,No,No,Electronic Check,0,Yes
3.0,58.9,Month-to-Month,DSL,Yes,Credit Card,2,Yes
12.0,100.63,Two Year,No,No,Electronic Check,5,Yes
32.0,60.51,Month-to-Month,Fiber Optic,Yes,Credit Card,1,No
61.0,35.97,One Year,Fiber Optic,No,Mailed Check,1,No
7.0,55.9,Two Year,Fiber Optic,No,Electronic Check,1,No
11.0,35.96,Two Year,DSL,No,Bank Transfer,0,No
4.0,48.03,Month-to-Month,DSL,Yes,Credit Card,3,Yes
28.0,71.03,One Year,Fiber Optic,Yes,Electronic Check,1,No
72.0,80.35,Month-to-Month,DSL,Yes,Bank Transfer,0,Yes
25.0,17.29,Month-to-Month,DSL,Yes,Mailed Check,1,Yes
23.0,64.48,Month-to-Month,No,Yes,Credit Card,0,No
19.0,47.4,Month-to-Month,No,No,Bank Transfer,1,No
2.0,45.55,Month-to-Month,Fiber Optic,No,Electronic Check,0,Yes
31.0,68.98,Month-to-Month,Fiber Optic,Yes,Electronic Check,3,Yes
22.0,48.49,Two Year,Fiber Optic,Yes,Mailed Check,3,No
26.0,106.46,One Year,Fiber Optic,No,Credit Card,0,Yes
55.0,100.64,Month-to-Month,Fiber Optic,No,Electronic Check,4,Yes
37.0,100.45,Two Year,No,No,Bank Transfer,3,No
36.0,50.15,Month-to-Month,DSL,Yes,Electronic Check,2,Yes
63.0,36.13,Month-to-Month,Fiber Optic,No,Bank Transfer,2,Yes
72.0,67.46,One Year,No,No,Bank Transfer,3,No
21.0,60.49,Month-to-Month,Fiber Optic,Yes,Bank Transfer,0,Yes
3.0,46.74,One Year,No,No,Credit Card,3,No
15.0,29.73,Month-to-Month,DSL,No,Electronic Check,2,Yes
37.0,63.75,Month-to-Month,DSL,Yes,Electronic Check,1,Yes
1.0,52.88,Month-to-Month,No,No,Credit Card,3,Yes
1.0,85.65,Two Year,Fiber Optic,No,Electronic Check,2,Yes
2.0,84.95,One Year,Fiber Optic,No,Bank Transfer,2,Yes
32.0,98.02,One Year,DSL,No,Bank Transfer,0,Yes
17.0,27.22,One Year,Fiber Optic,Yes,Bank Transfer,1,No
11.0,77.03,Month-to-Month,Fiber Optic,No,Electronic Check,2,Yes
3.0,43.18,One Year,DSL,No,Electronic Check,1,No
32.0,28.39,Month-to-Month,Fiber Optic,No,Bank Transfer,4,Yes
9.0,52.14,Month-to-Month,Fiber Optic,Yes,Electronic Check,3,Yes
7.0,97.06,One Year,DSL,Yes,Bank Transfer,3,No
25.0,53.83,Month-to-Month,Fiber Optic,No,Mailed Check,4,Yes
20.0,111.96,Month-to-Month,Fiber Optic,No,Mailed Check,3,Yes
11.0,81.47,Two Year,DSL,No,Electronic Check,0,No
25.0,53.18,One Year,Fiber Optic,Yes,Credit Card,1,No
8.0,99.8,One Year,DSL,Yes,Mailed Check,1,Yes
38.0,78.36,Month-to-Month,DSL,Yes,Bank Transfer,2,Yes
6.0,37.02,Month-to-Month,Fiber Optic,No,Credit Card,1,Yes
4.0,120.76,One Year,Fiber Optic,No,Bank Transfer,1,Yes
37.0,72.78,One Year,No,No,Credit Card,2,No
30.0,65.56,Month-to-Month,DSL,Yes,Electronic Check,2,Yes
5.0,39.33,Two Year,Fiber Optic,Yes,Credit Card,1,No
3.0,100.39,Two Year,DSL,No,Electronic Check,0,Yes
44.0,80.52,Month-to-Month,Fiber Optic,No,Credit Card,0,Yes
36.0,83.88,Two Year,Fiber Optic,No,Credit Card,0,Yes
10.0,49.77,Month-to-Month,Fiber Optic,Yes,Electronic Check,0,Yes
26.0,90.02,Month-to-Month,DSL,No,Mailed Check,2,Yes
3.0,92.35,Month-to-Month,No,Yes,Bank Transfer,0,Yes
17.0,44.94,One Year,Fiber Optic,No,Electronic Check,4,Yes
0.0,22.49,Two Year,No,No,Credit Card,0,No
12.0,82.44,One Year,DSL,No,Electronic Check,1,Yes
2.0,17.8,One Year,Fiber Optic,No,Credit Card,1,Yes
15.0,69.56,Month-to-Month,Fiber Optic,Yes,Electronic Check,2,Yes
13.0,51.58,Month-to-Month,Fiber Optic,Yes,Bank Transfer,3,Yes
14.0,101.56,Month-to-Month,DSL,No,Electronic Check,1,Yes
1.0,53.21,Month-to-Month,No,Yes,Electronic Check,0,Yes
11.0,98.22,One Year,DSL,Yes,Mailed Check,1,No
34.0,49.57,Month-to-Month,DSL,No,Mailed Check,2,Yes
11.0,95.0,One Year,Fiber Optic,No,Electronic Check,1,Yes
30.0,126.81,Month-to-Month,Fiber Optic,No,Credit Card,1,Yes
11.0,32.96,Month-to-Month,Fiber Optic,Yes,Electronic Check,2,Yes
13.0,73.76,Month-to-Month,Fiber Optic,No,Credit Card,0,Yes
20.0,147.46,Two Year,Fiber Optic,Yes,Mailed Check,1,Yes
72.0,67.0,Month-to-Month,Fiber Optic,Yes,Mailed Check,2,Yes
3.0,66.85,Month-to-Month,Fiber Optic,Yes,Electronic Check,2,Yes
1.0,88.65,Two Year,No,Yes,Bank Transfer,1,Yes
22.0,66.23,Two Year,No,No,Mailed Check,3,No
71.0,15.0,One Year,Fiber Optic,No,Electronic Check,1,No
72.0,98.97,Month-to-Month,DSL,No,Electronic Check,3,Yes
16.0,15.0,Month-to-Month,No,No,Electronic Check,0,Yes
15.0,52.5,Two Year,DSL,Yes,Electronic Check,1,No
25.0,101.22,Two Year,DSL,Yes,Electronic Check,3,Yes
19.0,54.3,One Year,DSL,No,Electronic Check,2,Yes
24.0,44.19,Month-to-Month,DSL,No,Bank Transfer,0,No
50.0,91.38,Month-to-Month,No,No,Electronic Check,1,Yes
33.0,39.47,Month-to-Month,Fiber Optic,Yes,Electronic Check,4,Yes
16.0,28.33,One Year,No,No,Electronic Check,0,No
15.0,73.24,Month-to-Month,DSL,Yes,Bank Transfer,4,Yes
24.0,59.51,Two Year,Fiber Optic,Yes,Electronic Check,0,Yes
15.0,27.69,Month-to-Month,No,Yes,Bank Transfer,3,No
15.0,84.11,One Year,No,Yes,Bank Transfer,0,No
0.0,78.93,Month-to-Month,Fiber Optic,Yes,Bank Transfer,0,Yes
5.0,54.21,Month-to-Month,DSL,Yes,Electronic Check,2,Yes
16.0,56.26,Month-to-Month,Fiber Optic,No,Mailed Check,2,Yes
42.0,79.11,One Year,DSL,No,Electronic Check,1,No
8.0,100.71,One Year,Fiber Optic,No,Credit Card,1,Yes
18.0,56.52,Month-to-Month,Fiber Optic,No,Credit Card,0,Yes
10.0,84.64,Two Year,Fiber Optic,No,Mailed Check,1,Yes
3.0,81.96,Month-to-Month,Fiber Optic,Yes,Credit Card,2,Yes
72.0,91.38,Two Year,Fiber Optic,No,Mailed Check,1,No
46.0,66.18,Two Year,DSL,No,Electronic Check,4,Yes
2.0,37.63,Two Year,Fiber Optic,No,Electronic Check,0,No
31.0,51.13,Month-to-Month,Fiber Optic,Yes,Mailed Check,1,Yes
10.0,75.29,Month-to-Month,DSL,No,Credit Card,1,Yes
72.0,119.55,Two Year,DSL,Yes,Credit Card,2,No
9.0,50.48,Month-to-Month,DSL,Yes,Bank Transfer,0,Yes
7.0,89.14,Month-to-Month,Fiber Optic,Yes,Mailed Check,1,Yes
20.0,55.16,One Year,No,Yes,Bank Transfer,0,No
43.0,68.31,Month-to-Month,DSL,Yes,Credit Card,0,Yes
5.0,110.46,One Year,Fiber Optic,No,Mailed Check,1,Yes
30.0,87.93,Two Year,Fiber Optic,Yes,Mailed Check,1,No
2.0,27.76,One Year,DSL,Yes,Bank Transfer,0,Yes
60.0,47.83,Month-to-Month,No,Yes,Credit Card,3,No
2.0,102.69,Month-to-Month,Fiber Optic,No,Credit Card,0,Yes
59.0,69.26,Month-to-Month,No,No,Electronic Check,1,No
16.0,30.53,Month-to-Month,DSL,Yes,Electronic Check,2,No
14.0,40.43,Month-to-Month,DSL,Yes,Credit Card,0,Yes
72.0,86.1,Month-to-Month,DSL,No,Credit Card,3,Yes
72.0,94.83,Month-to-Month,DSL,No,Mailed Check,1,Yes
25.0,65.54,Month-to-Month,No,Yes,Bank Transfer,1,Yes
3.0,139.26,Two Year,DSL,Yes,Credit Card,2,Yes
17.0,89.72,Month-to-Month,Fiber Optic,No,Credit Card,2,Yes
18.0,57.7,Month-to-Month,DSL,Yes,Credit Card,2,Yes
17.0,40.53,One Year,No,No,Electronic Check,2,No
20.0,35.75,One Year,Fiber Optic,Yes,Bank Transfer,0,No
0.0,75.06,Month-to-Month,Fiber Optic,Yes,Electronic Check,3,Yes
30.0,50.34,One Year,DSL,No,Credit Card,1,Yes
30.0,115.21,Month-to-Month,Fiber Optic,No,Electronic Check,1,Yes
3.0,108.99,Month-to-Month,DSL,Yes,Bank Transfer,1,Yes
20.0,83.99,Two Year,DSL,No,Bank Transfer,2,Yes
20.0,29.63,Two Year,Fiber Optic,No,Credit Card,0,No
28.0,44.83,One Year,No,Yes,Bank Transfer,0,No
2.0,102.67,One Year,No,No,Electronic Check,1,Yes
24.0,48.11,Two Year,Fiber Optic,Yes,Bank Transfer,1,No
8.0,98.66,Two Year,Fiber Optic,Yes,Mailed Check,3,Yes
17.0,79.24,Month-to-Month,No,Yes,Electronic Check,4,Yes
36.0,66.55,One Year,Fiber Optic,No,Credit Card,0,Yes
29.0,43.92,Month-to-Month,Fiber Optic,No,Bank Transfer,1,Yes
3.0,62.17,Month-to-Month,No,Yes,Bank Transfer,2,Yes
21.0,70.69,Month-to-Month,DSL,Yes,Mailed Check,3,Yes
72.0,95.98,One Year,DSL,No,Credit Card,2,Yes
4.0,38.43,Two Year,Fiber Optic,No,Credit Card,1,Yes
46.0,57.12,Two Year,DSL,No,Bank Transfer,0,No
29.0,66.34,Month-to-Month,Fiber Optic,Yes,Credit Card,2,Yes
36.0,84.88,Month-to-Month,Fiber Optic,No,Mailed Check,1,Yes
8.0,37.75,Month-to-Month,Fiber Optic,Yes,Bank Transfer,1,Yes
8.0,25.5,Month-to-Month,No,No,Credit Card,4,Yes
57.0,85.22,Two Year,DSL,Yes,Mailed Check,1,No
11.0,19.46,Month-to-Month,Fiber Optic,Yes,Mailed Check,1,Yes
2.0,103.55,One Year,DSL,No,Credit Card,3,Yes
22.0,60.32,Month-to-Month,Fiber Optic,No,Electronic Check,0,Yes
3.0,18.57,Month-to-Month,Fiber Optic,No,Electronic Check,2,Yes
38.0,50.59,One Year,Fiber Optic,No,Mailed Check,1,Yes
25.0,76.37,Month-to-Month,DSL,Yes,Electronic Check,1,Yes
50.0,49.02,Month-to-Month,Fiber Optic,No,Credit Card,1,Yes
37.0,65.6,Month-to-Month,Fiber Optic,No,Electronic Check,0,Yes
3.0,87.2,One Year,DSL,No,Electronic Check,0,Yes
12.0,58.93,Two Year,Fiber Optic,No,Credit Card,1,Yes
36.0,36.89,Two Year,Fiber Optic,No,Electronic Check,0,No
13.0,56.03,Two Year,No,No,Bank Transfer,2,No
72.0,107.45,Two Year,No,No,Credit Card,0,No
32.0,115.55,Two Year,Fiber Optic,No,Credit Card,1,Yes
0.0,15.0,One Year,No,Yes,Credit Card,2,No
51.0,97.73,Month-to-Month,Fiber Optic,No,Electronic Check,1,No
3.0,72.5,Month-to-Month,No,No,Electronic Check,1,Yes
4.0,92.72,Two Year,DSL,No,Electronic Check,3,Yes
32.0,48.49,Month-to-Month,Fiber Optic,No,Electronic Check,1,No
48.0,15.0,Month-to-Month,Fiber Optic,Yes,Mailed Check,0,Yes
18.0,82.53,Two Year,Fiber Optic,Yes,Mailed Check,0,No
8.0,36.77,Month-to-Month,DSL,No,Bank Transfer,1,Yes
10.0,23.35,Two Year,DSL,Yes,Electronic Check,1,No
10.0,25.45,One Year,DSL,No,Mailed Check,1,No
9.0,83.03,Month-to-Month,DSL,No,Electronic Check,0,Yes
7.0,69.18,One Year,DSL,Yes,Electronic Check,2,No
23.0,88.47,Two Year,Fiber Optic,Yes,Bank Transfer,2,Yes
55.0,85.07,Month-to-Month,No,No,Bank Transfer,1,No
9.0,52.37,One Year,Fiber Optic,Yes,Credit Card,1,Yes
5.0,62.89,Two Year,No,No,Credit Card,2,Yes
44.0,49.66,Month-to-Month,No,No,Bank Transfer,2,Yes
32.0,58.69,Month-to-Month,Fiber Optic,Yes,Bank Transfer,1,Yes
64.0,35.98,Month-to-Month,DSL,Yes,Electronic Check,1,No
4.0,76.71,Month-to-Month,DSL,No,Electronic Check,0,Yes
4.0,97.25,Month-to-Month,No,Yes,Credit Card,3,Yes
19.0,40.5,One Year,DSL,No,Electronic Check,1,No
23.0,103.44,Month-to-Month,Fiber Optic,No,Mailed Check,3,Yes
16.0,68.41,Two Year,Fiber Optic,No,Electronic Check,3,Yes
22.0,72.23,Month-to-Month,No,Yes,Electronic Check,3,Yes
5.0,15.0,Month-to-Month,Fiber Optic,No,Credit Card,2,Yes
16.0,15.0,One Year,No,No,Electronic Check,1,Yes
26.0,69.32,Two Year,DSL,No,Mailed Check,0,No
14.0,88.69,Month-to-Month,DSL,No,Electronic Check,4,Yes
27.0,44.86,Month-to-Month,Fiber Optic,No,Bank Transfer,0,Yes
14.0,115.1,Two Year,No,Yes,Bank Transfer,2,Yes
10.0,87.05,Month-to-Month,Fiber Optic,No,Mailed Check,4,Yes
9.0,37.75,Month-to-Month,No,No,Credit Card,2,Yes
13.0,65.93,Month-to-Month,Fiber Optic,No,Electronic Check,1,Yes
1.0,139.31,One Year,Fiber Optic,Yes,Bank Transfer,1,Yes
27.0,27.72,Month-to-Month,Fiber Optic,Yes,Bank Transfer,1,Yes
45.0,80.85,One Year,Fiber Optic,No,Credit Card,1,Yes
11.0,55.32,One Year,DSL,Yes,Electronic Check,0,No
1.0,86.21,Two Year,No,Yes,Electronic Check,0,No
72.0,103.02,Month-to-Month,No,No,Electronic Check,3,Yes
7.0,53.41,Month-to-Month,Fiber Optic,No,Electronic Check,1,Yes
3.0,98.57,Month-to-Month,DSL,Yes,Electronic Check,0,Yes
11.0,131.64,Month-to-Month,DSL,No,Electronic Check,1,Yes
32.0,66.99,One Year,No,No,Mailed Check,1,No
8.0,88.55,One Year,DSL,No,Credit Card,0,Yes
21.0,47.29,One Year,No,No,Electronic Check,4,No
13.0,65.58,Two Year,Fiber Optic,Yes,Credit Card,0,Yes
3.0,59.7,Two Year,Fiber Optic,No,Credit Card,1,Yes
10.0,88.91,Month-to-Month,No,Yes,Credit Card,4,Yes
31.0,101.14,Two Year,DSL,Yes,Credit Card,3,No
23.0,61.71,Month-to-Month,Fiber Optic,No,Credit Card,2,Yes
3.0,111.01,One Year,No,Yes,Credit Card,3,Yes
4.0,110.9,Month-to-Month,Fiber Optic,No,Mailed Check,1,Yes
25.0,90.41,Two Year,Fiber Optic,Yes,Mailed Check,0,Yes
40.0,49.52,Month-to-Month,Fiber Optic,Yes,Credit Card,4,Yes
10.0,46.65,One Year,DSL,No,Mailed Check,2,Yes
22.0,40.63,Two Year,DSL,No,Electronic Check,2,No
4.0,93.47,One Year,Fiber Optic,Yes,Credit Card,0,Yes
9.0,28.65,One Year,Fiber Optic,No,Bank Transfer,1,Yes
0.0,85.31,Month-to-Month,Fiber Optic,Yes,Credit Card,1,Yes
35.0,32.57,Month-to-Month,Fiber Optic,Yes,Electronic Check,1,Yes
12.0,89.71,Two Year,DSL,Yes,Bank Transfer,2,No
41.0,65.52,One Year,Fiber Optic,Yes,Electronic Check,1,No
30.0,105.01,One Year,DSL,Yes,Credit Card,4,No
42.0,99.24,Month-to-Month,DSL,No,Electronic Check,0,Yes
8.0,108.05,Month-to-Month,Fiber Optic,No,Credit Card,0,Yes
5.0,108.82,Month-to-Month,No,Yes,Electronic Check,3,Yes
72.0,69.31,Month-to-Month,DSL,No,Electronic Check,0,No
30.0,30.24,Month-to-Month,Fiber Optic,Yes,Electronic Check,1,Yes
43.0,33.42,Month-to-Month,Fiber Optic,Yes,Electronic Check,5,Yes
0.0,15.0,Month-to-Month,DSL,Yes,Bank Transfer,1,Yes
11.0,32.49,One Year,Fiber Optic,Yes,Electronic Check,1,No
33.0,67.06,Month-to-Month,No,No,Mailed Check,3,Yes
2.0,48.21,One Year,Fiber Optic,Yes,Electronic Check,5,Yes
20.0,59.6,Two Year,DSL,No,Credit Card,0,No
13.0,79.78,Month-to-Month,Fiber Optic,No,Electronic Check,2,Yes
0.0,55.88,Two Year,Fiber Optic,No,Mailed Check,2,Yes
6.0,31.35,Two Year,DSL,No,Bank Transfer,0,Yes
8.0,63.4,Month-to-Month,DSL,Yes,Credit Card,1,Yes
3.0,38.05,Month-to-Month,DSL,Yes,Credit Card,0,Yes
24.0,56.88,Month-to-Month,DSL,No,Credit Card,0,Yes
7.0,105.28,One Year,DSL,Yes,Electronic Check,0,Yes
8.0,56.88,Month-to-Month,Fiber Optic,Yes,Credit Card,3,Yes
55.0,118.13,Month-to-Month,Fiber Optic,No,Credit Card,5,Yes
15.0,107.95,One Year,No,Yes,Credit Card,1,Yes
12.0,47.62,Month-to-Month,Fiber Optic,No,Electronic Check,1,Yes
31.0,31.67,Two Year,No,Yes,Credit Card,1,No
58.0,63.42,Month-to-Month,Fiber Optic,No,Mailed Check,4,Yes
1.0,99.6,Two Year,DSL,No,Bank Transfer,3,Yes
14.0,50.29,Month-to-Month,Fiber Optic,Yes,Mailed Check,1,Yes
23.0,92.24,Month-to-Month,No,No,Mailed Check,3,Yes
9.0,101.25,Month-to-Month,DSL,No,Mailed Check,3,Yes
36.0,41.78,Two Year,DSL,No,Mailed Check,1,No
72.0,44.72,Month-to-Month,DSL,No,Credit Card,1,No
69.0,86.38,One Year,Fiber Optic,No,Bank Transfer,0,Yes
7.0,69.56,Two Year,DSL,Yes,Bank Transfer,5,Yes
6.0,44.42,One Year,DSL,Yes,Electronic Check,1,No
72.0,54.43,Month-to-Month,DSL,No,Credit Card,6,Yes
15.0,62.88,Two Year,Fiber Optic,Yes,Bank Transfer,1,No
6.0,18.05,Two Year,Fiber Optic,Yes,Electronic Check,1,No
29.0,87.97,Month-to-Month,Fiber Optic,Yes,Credit Card,0,Yes
8.0,50.64,One Year,Fiber Optic,No,Electronic Check,1,Yes
7.0,15.0,Two Year,Fiber Optic,No,Electronic Check,0,Yes
51.0,64.28,Two Year,DSL,No,Mailed Check,2,No
4.0,42.75,Month-to-Month,Fiber Optic,No,Bank Transfer,4,Yes
2.0,115.66,Two Year,DSL,No,Electronic Check,1,Yes
8.0,47.44,Month-to-Month,Fiber Optic,No,Electronic Check,0,Yes
22.0,32.07,Month-to-Month,Fiber Optic,Yes,Credit Card,1,Yes
3.0,80.24,Month-to-Month,DSL,Yes,Electronic Check,3,Yes
15.0,45.19,Month-to-Month,DSL,No,Electronic Check,0,Yes
24.0,41.62,One Year,DSL,Yes,Credit Card,1,No
45.0,80.29,Month-to-Month,DSL,No,Electronic Check,2,Yes
6.0,33.79,Month-to-Month,DSL,No,Bank Transfer,1,Yes
41.0,21.28,Month-to-Month,No,No,Electronic Check,1,No
6.0,116.78,Month-to-Month,Fiber Optic,Yes,Bank Transfer,0,Yes
27.0,82.38,Two Year,Fiber Optic,Yes,Mailed Check,1,No
14.0,57.07,Two Year,Fiber Optic,No,Credit Card,1,No
3.0,64.9,Month-to-Month,Fiber Optic,Yes,Mailed Check,0,Yes
30.0,80.18,Two Year,No,No,Bank Transfer,1,Yes
6.0,94.2,Month-to-Month,No,No,Credit Card,0,Yes
5.0,42.32,One Year,Fiber Optic,No,Credit Card,0,Yes
11.0,75.98,Two Year,No,No,Electronic Check,1,Yes
25.0,49.8,Month-to-Month,DSL,No,Credit Card,2,Yes
6.0,59.33,One Year,Fiber Optic,No,Mailed Check,0,Yes
5.0,69.82,Month-to-Month,No,Yes,Bank Transfer,3,Yes
0.0,64.8,Month-to-Month,Fiber Optic,Yes,Mailed Check,3,Yes
15.0,87.07,One Year,No,No,Mailed Check,1,Yes
13.0,79.61,Two Year,DSL,No,Electronic Check,0,No
6.0,19.75,Month-to-Month,Fiber Optic,No,Bank Transfer,1,Yes
1.0,24.27,Two Year,No,Yes,Mailed Check,3,No
13.0,53.91,Two Year,Fiber Optic,No,Electronic Check,0,No
37.0,119.86,Month-to-Month,Fiber Optic,Yes,Mailed Check,1,Yes
30.0,39.45,Month-to-Month,DSL,No,Credit Card,2,Yes
47.0,58.75,One Year,Fiber Optic,No,Bank Transfer,1,Yes
0.0,48.91,Month-to-Month,No,Yes,Mailed Check,2,Yes
72.0,48.38,Month-to-Month,Fiber Optic,Yes,Credit Card,1,No
10.0,70.35,Two Year,DSL,Yes,Bank Transfer,2,Yes
72.0,107.02,One Year,DSL,No,Electronic Check,1,No
7.0,78.68,Month-to-Month,No,No,Mailed Check,3,Yes
15.0,40.89,One Year,Fiber Optic,No,Electronic Check,0,No
